Index,DATE TIME,Temp,On/off
11,20/04/2018 02:05:03,59.51219512,0
11,20/04/2018 02:06:03,59.51219512,0
11,20/04/2018 02:07:03,59.75609756,0
11,20/04/2018 02:08:03,59.63414634,0
11,20/04/2018 02:09:03,59.51219512,0
11,20/04/2018 02:10:03,59.63414634,0
11,20/04/2018 02:11:03,59.51219512,0
11,20/04/2018 02:12:03,59.51219512,0
11,20/04/2018 02:13:03,59.51219512,0
11,20/04/2018 02:14:03,59.63414634,0
11,20/04/2018 02:15:03,59.51219512,0
11,20/04/2018 02:16:03,59.51219512,0
11,20/04/2018 02:17:04,59.51219512,0
11,20/04/2018 02:18:03,59.3902439,0
11,20/04/2018 02:19:04,59.3902439,0
11,20/04/2018 02:20:03,59.51219512,0
11,20/04/2018 02:21:04,59.3902439,0
11,20/04/2018 02:22:03,59.3902439,0
11,20/04/2018 02:23:03,59.3902439,0
11,20/04/2018 02:24:03,59.3902439,0
11,20/04/2018 02:25:04,59.3902439,0
11,20/04/2018 02:26:03,59.3902439,0
11,20/04/2018 02:27:03,59.26829268,0
11,20/04/2018 02:28:04,59.3902439,0
11,20/04/2018 02:29:03,59.26829268,0
11,20/04/2018 02:30:03,59.3902439,0
11,20/04/2018 02:31:04,59.3902439,0
11,20/04/2018 02:32:03,59.3902439,0
11,20/04/2018 02:33:03,59.3902439,0
11,20/04/2018 02:34:04,59.26829268,0
11,20/04/2018 02:35:03,59.26829268,0
11,20/04/2018 02:36:04,59.26829268,0
11,20/04/2018 02:37:03,59.14634146,0
11,20/04/2018 02:38:03,59.26829268,0
11,20/04/2018 02:39:04,59.14634146,0
11,20/04/2018 02:40:03,59.26829268,0
11,20/04/2018 02:41:04,59.14634146,0
11,20/04/2018 02:42:03,59.14634146,0
11,20/04/2018 02:43:04,59.26829268,0
11,20/04/2018 02:44:03,59.14634146,0
11,20/04/2018 02:45:04,59.02439024,0
11,20/04/2018 02:46:03,59.02439024,0
11,20/04/2018 02:47:04,59.14634146,0
11,20/04/2018 02:48:03,59.14634146,0
11,20/04/2018 02:49:04,59.02439024,0
11,20/04/2018 02:50:03,59.02439024,0
11,20/04/2018 02:51:04,59.02439024,0
11,20/04/2018 02:52:04,59.14634146,0
11,20/04/2018 02:53:03,59.02439024,0
11,20/04/2018 02:54:04,58.90243902,0
11,20/04/2018 02:55:03,59.02439024,0
11,20/04/2018 02:56:03,59.02439024,0
11,20/04/2018 02:57:04,59.02439024,0
11,20/04/2018 02:58:04,59.02439024,0
11,20/04/2018 02:59:03,59.02439024,0
11,20/04/2018 03:00:04,59.02439024,0
11,20/04/2018 03:01:04,59.02439024,0
11,20/04/2018 03:02:03,58.7804878,0
11,20/04/2018 03:03:05,58.90243902,0
11,20/04/2018 03:04:03,58.7804878,0
11,20/04/2018 03:05:04,58.90243902,0
11,20/04/2018 03:06:04,58.90243902,0
11,20/04/2018 03:07:04,58.90243902,0
11,20/04/2018 03:08:03,58.90243902,0
11,20/04/2018 03:09:03,58.90243902,0
11,20/04/2018 03:10:04,58.7804878,0
